"108年03月22日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","12,192.86","+","32.75","0.27",
"發行量加權股價指數","10,639.07","+","29.52","0.28",
"臺灣公司治理100指數","6,002.11","+","30.17","0.51",
"臺灣50指數","7,960.96","+","38.32","0.48",
"臺灣中型100指數","7,819.30","+","1.96","0.03",
"臺灣資訊科技指數","10,366.64","+","115.76","1.13",
"臺灣發達指數","8,276.27","+","2.35","0.03",
"臺灣高股息指數","6,209.73","-","4.29","-0.07",
"臺灣永續指數","5,116.32","+","24.37","0.48",
"臺灣就業99指數","6,284.69","+","4.22","0.07",
"臺灣高薪100指數","5,867.64","+","7.23","0.12",
"未含金融保險股指數","8,958.58","+","37.62","0.42",
"未含電子股指數","14,856.23","-","4.86","-0.03",
"未含金融電子股指數","12,603.20","+","25.97","0.21",
"小型股300指數","6,416.10","-","5.53","-0.09",
"漲升股利150指數","6,029.64","+","10.86","0.18",
"漲升股利100指數","6,076.99","+","12.34","0.20",
"藍籌30指數","5,689.13","+","20.36","0.36",
"工業菁英30指數","6,075.03","+","8.55","0.14",
"電子菁英30指數","5,810.29","+","17.36","0.30",
"低波動精選30指數","5,910.77","-","14.96","-0.25",
"低貝塔100指數","5,597.16","+","21.84","0.39",
"中小型精選50指數","5,653.05","+","11.24","0.20",
"中小型A級動能50指數","6,109.58","-","25.33","-0.41",
"特選高息低波指數","5,146.87","-","5.78","-0.11",
"臺灣生技指數","5,130.62","+","19.24","0.38",
"特選內需高收益指數","5,363.49","+","0.92","0.02",
"臺灣中小型公司治理指數","5,382.05","+","16.37","0.31",
"臺灣IPO指數","5,109.58","-","10.34","-0.20",
"價值投資指數","5,436.06","+","12.42","0.23",
"中小型300指數","5,651.17","-","0.44","-0.01",
"藍籌30反向一倍指數","8,449.83","-","30.46","-0.36",
"工業菁英30反向一倍指數","9,193.70","-","12.98","-0.14",
"水泥窯製類指數","531.34","-","0.73","-0.14",
"塑膠化工類指數","911.96","+","1.06","0.12",
"機電類指數","2,430.44","+","13.12","0.54",
"水泥類指數","143.46","-","0.23","-0.16",
"食品類指數","1,698.73","+","3.69","0.22",
"塑膠類指數","290.01","+","0.84","0.29",
"紡織纖維類指數","571.00","+","1.37","0.24",
"電機機械類指數","179.25","+","0.44","0.25",
"電器電纜類指數","50.81","+","0.10","0.20",
"化學生技醫療類指數","99.60","+","0.05","0.05",
"化學類指數","108.07","+","0.01","0.01",
"生技醫療類指數","62.79","+","0.07","0.11",
"玻璃陶瓷類指數","36.19","+","0.03","0.08",
"造紙類指數","201.02","-","1.11","-0.55",
"鋼鐵類指數","109.67","-","0.19","-0.17",
"橡膠類指數","260.69","-","2.63","-1.00",
"汽車類指數","245.21","+","0.79","0.32",
"電子類指數","431.94","+","2.39","0.56",
"半導體類指數","168.43","+","1.97","1.18",
"電腦及週邊設備類指數","92.22","+","0.33","0.36",
"光電類指數","41.08","-","0.39","-0.94",
"通信網路類指數","123.68","+","0.03","0.02",
"電子零組件類指數","101.99","+","0.16","0.16",
"電子通路類指數","114.69","+","0.07","0.06",
"資訊服務類指數","103.17","+","0.97","0.95",
"其他電子類指數","74.40","-","0.18","-0.24",
"建材營造類指數","279.70","+","0.58","0.21",
"航運類指數","65.38","-","0.04","-0.06",
"觀光類指數","102.36","+","0.83","0.82",
"金融保險類指數","1,256.70","-","7.41","-0.59",
"貿易百貨類指數","241.48","-","1.30","-0.54",
"油電燃氣類指數","146.16","+","1.21","0.83",
"其他類指數","274.06","+","1.32","0.48",
"臺指日報酬兩倍指數","15,964.42","+","88.35","0.56",
"臺指日報酬反向一倍指數","7,248.13","-","20.22","-0.28",
"電子類兩倍槓桿指數","12,112.61","+","133.30","1.11",
"電子類反向指數","7,849.08","-","43.92","-0.56",
"金融類日報酬兩倍指數","19,326.24","-","229.26","-1.17",
"金融類日報酬反向一倍指數","6,722.39","+","39.18","0.59",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","14,666.05","+","39.39","0.27",
"發行量加權股價報酬指數","18,981.04","+","52.66","0.28",
"臺灣公司治理100報酬指數","7,072.82","+","35.54","0.51",
"臺灣50報酬指數","14,358.35","+","69.11","0.48",
"臺灣中型100報酬指數","13,059.80","+","3.26","0.02",
"臺灣資訊科技報酬指數","17,724.94","+","197.93","1.13",
"臺灣發達報酬指數","13,426.44","+","3.82","0.03",
"臺灣高股息報酬指數","12,995.89","-","8.98","-0.07",
"臺灣永續報酬指數","5,543.55","+","26.40","0.48",
"臺灣就業99報酬指數","8,343.24","+","5.61","0.07",
"臺灣高薪100報酬指數","7,025.73","+","8.65","0.12",
"未含金融電子股報酬指數","22,729.35","+","46.85","0.21",
"小型股300報酬指數","7,263.64","-","6.26","-0.09",
"漲升股利150報酬指數","6,809.74","+","12.27","0.18",
"漲升股利100報酬指數","6,865.23","+","13.94","0.20",
"藍籌 30 報酬指數","6,172.41","+","22.09","0.36",
"工業菁英 30 報酬指數","6,598.74","+","9.29","0.14",
"電子菁英 30 報酬指數","6,255.36","+","18.69","0.30",
"低波動精選 30 報酬指數","6,465.64","-","16.36","-0.25",
"低貝塔 100 報酬指數","6,116.58","+","23.87","0.39",
"中小型精選50報酬指數","6,223.19","+","12.38","0.20",
"中小型A級動能50報酬指數","6,437.23","-","26.68","-0.41",
"特選高息低波報酬指數","5,668.65","-","6.37","-0.11",
"臺灣生技報酬指數","5,284.39","+","19.81","0.38",
"特選內需高收益報酬指數","5,683.42","+","0.97","0.02",
