上櫃股票行情(含等價、零股、盤後、鉅額交易)
資料日期:108/03/27
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後賣價,發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
"006201","元大富櫃50","12.20","+0.03","12.17","12.20","12.17","12.18","56,000","682,110","16","12.17","12.20","32,446,000","12.20","13.42","10.98"
"00679B","元大美債20年","39.70","+0.19","39.51","39.71","39.51","39.69","1,071,100","42,517,070","143","39.69","39.70","1,008,192,000","39.70","9999.95","0.01"
"00687B","國泰20年美債","41.23","+0.13","41.20","41.27","41.20","41.24","595,000","24,537,930","32","41.25","41.30","634,287,000","41.23","9999.95","0.01"
"00694B","富邦美債1-3","41.17","+0.01","41.14","41.17","41.14","41.16","312,034","12,843,204","8","41.17","41.19","26,576,000","41.17","9999.95","0.01"
"00695B","富邦美債7-10","38.52","+0.08","38.44","38.53","38.44","38.52","368,100","14,178,433","53","38.52","38.55","12,186,000","38.52","9999.95","0.01"
"00696B","富邦美債20年","41.68","+0.08","41.68","41.71","41.68","41.71","480,000","20,018,980","41","41.68","41.72","312,681,000","41.68","9999.95","0.01"
"00697B","元大美債7-10","40.55","+0.10","40.63","40.63","40.55","40.56","455,000","18,454,800","16","40.56","40.63","39,212,000","40.55","9999.95","0.01"
"00718B","富邦中國政策債","20.96","-0.03 ","20.99","20.99","20.95","20.98","628,000","13,174,690","92","20.96","20.99","585,501,000","20.96","9999.95","0.01"
"00719B","元大美債1-3","32.17","+0.01","32.16","32.20","32.16","32.19","455,000","14,646,120","8","32.18","32.20","40,514,000","32.17","9999.95","0.01"
"00720B","元大投資級公司債","40.38","+0.13","40.34","40.38","40.34","40.26","1,956,000","78,750,080","22","40.35","40.38","640,109,000","40.38","9999.95","0.01"
"00721B","元大中國債3-5","47.47","-0.05 ","47.47","47.50","47.47","47.48","451,000","21,414,480","10","47.45","47.51","208,622,000","47.47","9999.95","0.01"
"00722B","群益15年IG電信債","42.53","+0.08","42.55","42.57","42.53","42.55","121,000","5,148,770","13","42.54","42.87","560,239,000","42.53","9999.95","0.01"
"00723B","群益15年IG科技債","40.29","+0.10","40.29","40.29","40.29","40.29","100,000","4,029,000","2","39.49","40.30","865,083,000","40.29","9999.95","0.01"
"00724B","群益10年IG金融債","39.32","0.00 ","39.40","39.40","39.29","39.35","3,178,000","125,049,570","17","39.29","39.34","972,275,000","39.32","9999.95","0.01"
"00725B","國泰投資級公司債","41.29","+0.14","41.32","41.38","41.29","41.33","468,000","19,341,500","58","41.24","41.29","728,706,000","41.29","9999.95","0.01"
"00726B","國泰5Y+新興債","42.91","+0.23","42.85","42.91","42.85","42.87","71,000","3,043,800","11","42.85","43.00","387,989,000","42.91","9999.95","0.01"
"00727B","國泰1-5Y高收債","43.65","+0.05","43.61","43.65","43.61","43.64","125,000","5,455,250","5","43.62","43.68","80,189,000","43.65","9999.95","0.01"
"00734B","台新JPM新興債","21.64","+0.07","21.62","21.65","21.61","21.63","1,087,000","23,511,110","23","21.63","21.65","23,979,000","21.64","9999.95","0.01"
"00740B","富邦全球投等債","43.60","+0.15","43.46","43.60","43.46","43.60","322,000","14,039,010","6","43.50","43.67","282,971,000","43.60","9999.95","0.01"
"00741B","富邦全球高收債","41.35","-0.10 ","41.45","41.46","41.30","41.38","250,000","10,344,120","14","41.32","41.50","9,628,000","41.35","9999.95","0.01"
"00744B","國泰中國政金債5+","42.68","-0.04 ","42.69","42.76","42.65","42.69","16,000","683,090","6","42.62","42.71","312,728,000","42.68","9999.95","0.01"
"00745B","富邦中政債0-1","41.30","-0.05 ","41.35","41.35","41.30","41.33","105,000","4,339,250","5","41.18","41.34","2,516,000","41.30","9999.95","0.01"
"00746B","富邦A級公司債","42.30","+0.05","42.26","42.30","42.26","42.30","103,000","4,356,780","6","42.26","42.30","529,464,000","42.30","9999.95","0.01"
"00747B","FH中國政策債","53.70","-0.20 ","53.75","53.85","53.70","53.85","103,000","5,546,200","5","0.10","55.20","242,500,000","53.70","9999.95","0.01"
